,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID5802361841,2,8,9,-37.8158343,145.04645,-38.1109156,144.6541725,51041.8,2018-06-19,06:52:01,12681.059999999998,10:23:22,1232.94
ID5682762391,2,4,8,-37.8076743,144.9919535,-37.8158343,145.04645,5120.0,2018-04-15,07:16:15,1587.84,7:42:42,173.4
ID1204234966,0,4,8,-37.8098489,144.993852,-37.807202,145.0266373,3521.0,2018-03-05,02:51:32,836.7599999999998,3:05:28,12.18
ID3158247503,1,9,5,-38.1109156,144.6541725,-37.8050894,144.9368101,43341.0,2018-07-24,14:09:42,10389.899999999996,17:02:51,58.74
ID5675300373,2,6,5,-37.7908183,144.9857929,-37.8148596,144.9235134,8021.0,2018-06-17,12:32:23,2148.8999999999996,13:08:11,235.66
ID3988599608,1,4,9,-37.8011147,144.9983507,-38.1109156,144.6541725,47445.0,2018-02-11,05:34:42,11468.88,8:45:50,73.24
ID1291679444,0,4,9,-37.8034291,145.0029696,-38.1109156,144.6541725,47628.0,2018-06-12,04:37:03,11524.8,7:49:07,20.37
ID3667932713,1,7,6,-37.8618349,144.905716,-37.7738026,144.9836466,16033.0,2018-06-05,23:29:55,5320.6799999999985,0:58:35,39.65
ID1961317003,0,1,5,-37.8195877,144.9718784,-37.7997371,144.9348231,7348.0,2018-05-08,04:00:00,1645.86,4:27:25,12.2
ID3344371380,1,9,5,-38.1109156,144.6541725,-37.8073307,144.9094355,45170.0,2018-07-16,17:39:01,10949.699999999999,20:41:30,61.06
ID3116622363,1,8,2,-37.7738026,144.9836466,-37.8238298,144.9434817,10610.0,2018-06-08,10:33:08,3205.7999999999975,11:26:33,18.19
ID3877976721,1,3,6,-37.8134398,144.9740272,-37.7907967,144.985865,3170.0,2018-05-24,16:52:47,897.54,17:07:44,13.31
ID1359483815,0,7,3,-37.8618349,144.905716,-37.8253708,144.9892856,9344.0,2018-01-15,13:38:43,3087.1799999999985,14:30:10,9.46
ID3661506911,1,1,5,-37.8083001,144.9661292,-37.806212,144.9353959,3063.0,2018-05-05,23:53:40,786.3600000000002,0:06:46,20.93
ID3122404394,1,6,9,-37.8231264,144.9780934,-38.1109156,144.6541725,44973.0,2018-06-11,08:29:57,10835.279999999999,11:30:32,55.17
ID3753958116,1,7,2,-37.8618349,144.905716,-37.8127424,144.9434419,9795.0,2018-04-17,14:31:04,3237.2399999999984,15:25:01,23.58
ID1278285441,0,5,6,-37.8618349,144.905716,-37.7738026,144.9836466,16033.0,2018-05-17,19:47:56,5320.6799999999985,21:16:36,10.83
ID5641493130,2,2,3,-37.8141162,144.939014,-37.8187308,144.9714369,3925.0,2018-06-16,18:56:20,939.9000000000003,19:11:59,116.74
ID1247993415,0,7,5,-37.7738026,144.9836466,-37.8002199,144.9349193,6749.0,2018-04-03,08:18:33,2052.7799999999997,8:52:45,6.45
ID1120650572,0,7,3,-37.8618349,144.905716,-37.8137969,144.9883813,9808.0,2018-01-06,14:31:39,3287.9999999999973,15:26:27,14.73
ID1588994392,0,2,7,-37.8209667,144.9277688,-37.8618349,144.905716,10673.0,2018-01-16,09:52:07,3564.36,10:51:31,7.67
ID1741652764,0,1,8,-37.8122096,144.9523897,-37.8158343,145.04645,8577.0,2018-02-22,02:21:26,2442.3,3:02:08,11.93
ID1475015649,0,5,6,-37.803335,144.9899256,-37.7874421,144.9804091,2726.0,2018-01-19,21:21:00,684.0599999999998,21:32:24,9.84
ID1137248360,0,6,9,-37.773845,144.9836895,-38.1109156,144.6541725,48197.0,2018-03-12,08:57:27,11519.399999999998,12:09:26,13.55
ID3552198267,1,9,2,-38.1109156,144.6541725,-37.8118782,144.9389808,42586.0,2018-01-12,21:35:16,10202.279999999997,0:25:18,60.63
ID1862283657,0,9,6,-38.1109156,144.6541725,-37.7874325,144.9803767,47033.0,2018-06-17,07:50:34,11355.660000000005,10:59:49,18.84
ID3574647240,1,1,3,-37.8180277,144.9538422,-37.8618349,144.905716,8511.0,2018-07-18,19:35:14,2919.06,20:23:53,23.4
ID3574061396,1,7,5,-37.8618349,144.905716,-37.8039043,144.9368881,10735.0,2018-06-12,22:14:07,3469.3199999999983,23:11:56,29.13
ID1934018296,0,5,4,-37.8048774,144.9358409,-37.8015285,144.9928258,5842.0,2018-07-09,11:26:43,1510.8600000000001,11:51:53,7.1
ID3894609321,1,1,7,-37.8177924,144.9678069,-37.8618349,144.905716,7725.0,2018-01-18,12:10:22,2714.16,12:55:36,23.38
ID3283758841,1,8,1,-37.8158343,145.04645,-37.813903,144.9617308,7849.0,2018-07-27,18:08:17,2265.7799999999993,18:46:02,20.09
ID1142691882,0,7,2,-37.8618349,144.905716,-37.8100762,144.9960042,10685.0,2018-04-16,03:50:20,3523.6199999999976,4:49:03,13.68
ID1890283662,0,9,2,-38.1109156,144.6541725,-37.8085213,144.9280532,44107.0,2018-02-13,07:36:41,10600.619999999995,10:33:21,14.59
ID1588428508,0,6,5,-37.7874325,144.9803767,-37.8044038,144.9289851,6532.0,2018-01-15,22:27:07,1760.9399999999996,22:56:27,12.53
ID3145596685,1,6,9,-37.7738026,144.9836466,-38.1109156,144.6541725,51061.0,2018-04-18,02:46:28,12976.499999999996,6:22:44,73.89
ID1549512461,0,1,6,-37.8034372,144.9650283,-37.7908183,144.9857929,3045.0,2018-01-23,14:31:47,800.0999999999999,14:45:07,7.41
ID3647535591,1,9,4,-38.1109156,144.6541725,-37.8028165,145.0094388,48220.0,2018-07-28,20:50:25,11706.720000000001,0:05:31,68.66
ID1425790457,0,9,5,-38.1109156,144.6541725,-37.804869,144.9284889,43961.0,2018-01-11,15:35:55,10510.619999999997,18:31:05,16.48
ID5139631941,2,1,5,-37.8215042,144.9456369,-37.8056732,144.9368923,2291.0,2018-03-07,02:11:05,578.8799999999999,2:20:43,83.61
ID1416629399,0,1,8,-37.805841,144.956183,-37.8158343,145.04645,8044.0,2018-06-26,12:58:03,2321.46,13:36:44,8.77
ID3560953687,1,5,5,-37.8163872,144.9285555,-37.8194857,145.0082458,8514.0,2018-05-13,11:00:54,2043.6000000000004,11:34:57,17.76
ID3751964934,1,9,2,-38.1109156,144.6541725,-37.7990172,145.0123398,49027.0,2018-03-19,02:08:06,11968.440000000004,5:27:34,69.44
ID3578683449,1,1,2,-37.8094861,144.9554003,-37.8133361,144.937065,1977.0,2018-04-05,00:42:43,508.14000000000004,0:51:11,16.49
ID3917900740,1,1,5,-37.8087868,144.9485122,-37.8046973,144.9271116,2161.0,2018-03-20,01:58:39,490.2,2:06:49,16.27
ID1522039924,0,7,6,-37.8618349,144.905716,-37.7908183,144.9857929,11712.0,2018-05-17,11:30:50,3700.979999999999,12:32:30,7.43
ID3499647370,1,6,2,-37.773845,144.9836895,-37.8191543,144.9505999,6768.0,2018-02-02,02:36:14,1452.9599999999998,3:00:26,21.15
ID1827695374,0,2,7,-37.8224437,144.9474085,-37.8618349,144.905716,8868.0,2018-02-06,20:24:19,3100.2,21:15:59,9.07
ID3733483906,1,6,4,-37.7907967,144.985865,-37.8155917,145.0059186,4416.0,2018-02-02,02:58:28,1235.28,3:19:03,19.81
ID5467028586,2,9,1,38.1109156,144.6541725,-37.8132344,144.9627186,43410.0,2018-07-16,15:34:53,10432.260000000002,18:28:45,1024.12
ID1527674449,0,4,2,37.8166314,145.0073694,-37.8240357,144.9436033,6267.0,2018-03-04,19:03:12,1507.8000000000006,19:28:19,14.69
ID1264767453,0,5,3,37.8097993,144.9359663,-37.8251449,144.9933916,5899.0,2018-04-24,20:02:51,1506.2399999999998,20:27:57,9.26
ID1603832179,0,9,5,38.1109156,144.6541725,-37.8028191,144.9363952,43818.0,2018-01-14,02:12:24,10545.539999999995,5:08:09,23.0
ID3122723693,1,9,2,38.1109156,144.6541725,-37.8172503,144.9340609,43041.0,2018-02-03,18:54:21,10380.66,21:47:21,61.29
ID5804508556,2,4,1,-37.8107142,145.0154597,-37.8061836,144.9588416,5475.0,2018-04-23,05:18:18,1364.7599999999998,5:41:02,161.5
ID1725496577,0,1,4,-37.8171578,144.9593038,-37.8045527,144.993404,4039.0,2018-07-21,00:24:34,1051.8599999999997,0:42:05,16.35
ID1290012148,0,8,3,-37.8158343,145.04645,-37.8233756,144.9781295,7218.0,2018-01-22,23:56:38,2086.38,0:31:24,12.57
ID5822234198,2,8,3,-37.8158343,145.04645,-37.8159505,144.9860011,6038.0,2018-04-20,14:42:54,1790.1000000000006,15:12:44,192.27
ID3266663299,1,4,3,-37.8087302,145.004482,37.8201693,144.9789384,3613.0,2018-01-08,09:13:00,911.8199999999998,9:28:11,9.1
ID5604434631,2,6,8,-37.773845,144.9836895,-37.807202,145.0266373,8606.0,2018-05-11,05:43:16,1995.7200000000003,6:16:31,220.9
ID1533663452,0,5,1,-37.7996759,144.9274691,-37.8074249,144.962747,3598.0,2018-05-05,08:45:34,993.7200000000004,9:02:07,9.54
ID3628575888,1,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797.0,2018-03-11,02:59:12,13173.359999999999,6:38:45,79.44
ID3287498482,1,1,9,-37.8039087,144.957357,38.1109156,144.6541725,47405.0,2018-02-12,00:44:05,11669.22,3:58:34,68.88
ID3682291306,1,2,9,-37.8179198,144.9461738,-38.1109156,144.6541725,41575.0,2018-01-11,15:45:57,10008.72,18:32:45,57.72
ID3224767383,1,3,1,-37.818283,145.0074284,-37.8040613,144.9530848,5667.0,2018-04-26,18:44:09,1410.7199999999998,19:07:39,16.79
ID1142433511,0,4,5,-37.8008412,145.0148545,37.8114352,144.935431,8182.0,2018-03-26,07:17:10,2152.559999999998,7:53:02,4.85
ID1825129670,0,4,9,-37.8030068,145.0170153,-38.1109156,144.6541725,49704.0,2018-04-13,20:58:35,12112.439999999999,0:20:27,16.08
ID3955599128,1,2,4,-37.8243231,144.9480425,-37.8012188,145.0085809,6922.0,2018-04-12,04:01:53,1812.2399999999998,4:32:05,20.47
ID3210440527,1,9,3,-38.1109156,144.6541725,37.8252459,144.9806127,45521.0,2018-04-28,15:00:54,10986.119999999999,18:04:00,63.95
ID1357884483,0,7,8,-37.8618349,144.905716,37.807202,145.0266373,13986.0,2018-01-10,01:36:25,4292.399999999998,2:47:57,13.25
ID1389976079,0,4,9,-37.8013014,144.9938723,-38.1109156,144.6541725,47035.0,2018-07-14,14:00:04,11345.039999999999,17:09:09,21.18
ID1712202974,0,3,1,-37.8205542,144.984997,-37.8113983,144.9494621,4159.0,2018-01-02,11:58:32,1038.06,12:15:50,3.71
ID1274425689,0,9,8,-38.1109156,144.6541725,-37.807202,145.0266373,49777.0,2018-06-04,12:08:19,12099.660000000003,15:29:58,17.47
ID3436339437,1,5,8,-37.7997643,144.935714,-37.8158343,145.04645,12723.0,2018-02-10,19:04:33,3453.5999999999995,20:02:06,29.99
ID3260033893,1,1,2,-37.8155763,144.9579948,-37.8209007,144.9476645,1369.0,2018-02-08,00:09:26,346.91999999999996,0:15:12,15.2
ID1486385535,0,3,7,-37.8155207,144.9880593,-37.8618349,144.905716,9687.0,2018-01-08,03:08:48,3241.8,4:02:49,13.24
ID5264250391,2,6,2,-37.773845,144.9836895,-37.8099904,144.939743,7517.0,2018-02-08,09:37:36,1745.9999999999989,10:05:27,170.26
ID1617641242,0,8,5,-37.807202,145.0266373,-37.8028551,144.9363858,9055.0,2018-05-18,04:40:51,2293.9800000000005,5:19:04,12.83
ID1747171831,0,3,9,-37.818639,144.9678869,-38.1109156,144.6541725,43873.0,2018-05-10,18:42:12,10567.199999999999,21:38:19,16.61
ID3777685929,1,6,3,-37.7738026,144.9836466,-37.8253674,144.9828141,9524.0,2018-03-19,19:54:06,2943.7199999999984,20:43:09,20.99
ID1803711242,0,9,4,-38.1109156,144.6541725,-37.7970508,144.9931629,47293.0,2018-01-02,03:25:42,11507.060000000005,6:36:57,19.87
ID3770287816,1,6,5,-37.7908183,144.9857929,-37.8097758,144.93699,6098.0,2018-07-13,17:59:35,1556.7599999999995,18:25:31,16.16
ID3197134064,1,9,8,-38.1109156,144.6541725,-37.8158343,145.04645,51032.0,2018-07-11,06:22:12,12774.060000000005,9:53:33,63.6
ID3463126444,1,2,9,-37.8219328,144.9375474,-38.1109156,144.6541725,43088.0,2018-01-06,05:09:03,10331.259999999998,8:01:34,65.31
ID1572504861,0,4,2,-37.8132093,145.0144442,-37.819207,144.9463798,6724.0,2018-04-20,03:44:27,1581.7200000000007,4:10:48,13.34
ID1172724985,0,7,4,-37.8618349,144.905716,-37.8085692,144.9925145,10502.0,2018-03-12,16:22:09,3488.039999999998,17:20:17,10.09
ID5904483144,2,6,3,-37.7874421,144.9804091,-37.8104063,144.9901859,3552.0,2018-05-07,23:57:05,934.9600000000003,0:11:26,111.6
ID1371310846,0,7,8,-37.8618349,144.905716,-37.807202,145.0266373,13986.0,2018-06-17,00:55:15,4292.399999999998,2:06:47,19.12
ID3941307020,1,5,2,-37.8153883,144.9280707,-37.8205187,144.9511189,3625.0,2018-06-19,07:51:54,922.3400000000003,8:06:44,9.81
ID3486859658,1,1,5,-37.8150989,144.9522992,-37.8169557,144.9274136,3103.0,2018-01-23,09:24:04,800.6599999999997,9:37:04,8.06
ID1834538109,0,1,7,-37.8158801,144.9369481,-37.8618349,144.905716,10474.0,2018-02-09,10:45:06,3428.5800000000004,11:42:14,6.05
ID1970809745,0,5,6,-37.8044195,144.9285626,-37.773845,144.9836895,7623.0,2018-07-14,05:08:08,1767.3800000000003,5:36:33,16.26
ID1948311116,0,7,2,-37.8618349,144.905716,-37.8219709,144.9507234,8585.0,2018-02-07,10:21:17,3015.639999999999,11:10:19,6.28
ID3343530605,1,5,6,-37.8051492,144.9294548,-37.7874325,144.9803767,6518.0,2018-06-03,00:34:10,1770.9200000000008,1:03:32,25.78
ID1658486227,0,5,2,-37.8148524,144.9271316,-37.8151851,144.9469846,2982.0,2018-04-03,07:44:53,749.7,7:57:22,5.08
ID3839649825,1,4,2,-37.8106886,144.9970119,-37.8254348,144.9479158,5013.0,2018-02-24,03:34:28,1347.54,3:56:55,23.44
ID1683470090,0,4,7,-37.8136295,145.0128635,-37.8618349,144.905716,12267.0,2018-07-27,15:25:20,3790.7400000000002,16:28:30,9.48
ID3884104536,1,7,3,-37.8618349,144.905716,-37.8238539,144.9982226,10170.0,2018-02-20,07:37:30,3255.719999999999,8:31:45,19.32
ID3386710711,1,2,9,-37.8245462,144.946792,-38.1109156,144.6541725,42183.0,2018-02-14,08:17:43,10150.98,11:06:53,52.89
ID1309929839,0,6,4,-37.7907967,144.985865,-37.8167697,145.0071835,4664.0,2018-03-04,19:22:15,1307.16,0:18:08,12.6
ID3896423871,1,6,5,-37.7907967,144.985865,-37.8004965,144.9335284,7303.0,2018-01-20,20:56:07,1964.5200000000004,21:28:51,22.64
ID3544650819,1,2,6,-37.8151942,144.9397467,-37.7874325,144.9803767,5781.0,2018-06-10,15:01:29,1485.4200000000008,17:15:11,21.57
ID5462475411,2,3,4,-37.8245985,144.9698135,-37.8144495,145.015303,5780.0,2018-06-12,00:11:26,1365.0000000000002,6:18:56,160.14
ID3238092353,1,2,7,-37.8247065,144.9531984,-37.8618349,144.905716,8387.0,2018-04-03,06:16:30,2951.04,10:53:16,17.95
ID3305853047,1,8,3,-37.807202,145.0266373,-37.8152966,144.9852804,4749.0,2018-02-13,21:59:15,1133.9400000000003,1:09:14,19.12
ID5687249199,2,7,2,-37.8618349,144.905716,-37.82003,144.92037,11304.0,2018-07-20,05:43:18,3594.9600000000005,6:43:12,375.35
ID1500327866,0,3,8,-37.8107586,144.9776785,-37.807202,145.0266373,5152.0,2018-05-03,08:50:18,1244.5200000000002,9:11:02,4.48
ID3329235309,1,7,5,-37.8618349,144.905716,-37.8065618,144.9379647,10533.0,2018-03-14,09:10:18,3347.5199999999986,10:06:05,22.67
ID3994848137,1,1,4,-37.8160767,144.9722254,-37.7998375,144.9889029,2841.0,2018-03-05,03:12:37,755.9399999999996,8:34:50,16.53
ID1931289515,0,8,2,-37.8158343,145.04645,-37.8189026,144.9471781,9341.0,2018-05-13,08:44:43,2580.420000000001,9:15:33,10.72
ID3526999891,1,8,9,-37.8158343,145.04645,-38.1109156,144.6541725,51032.0,2018-02-08,03:56:25,12681.059999999998,9:59:02,74.14
ID1883141120,0,8,3,-37.8158343,145.04645,-37.8096732,144.9925222,4803.0,2018-03-01,04:25:06,1484.0999999999997,4:49:50,11.36
ID1400959263,0,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797.0,2018-02-15,01:25:24,13173.359999999999,5:04:57,23.77
ID5136202694,2,9,2,-38.1109156,144.6541725,-37.813514,144.9442952,41994.0,2018-06-20,11:25:00,10067.099999999997,14:12:47,979.47
ID3319064739,1,5,2,-37.8005276,144.9264467,-37.813376,144.944541,4030.0,2018-06-20,15:34:56,1114.8000000000002,15:53:30,13.54
ID1384085069,0,5,8,-37.8068748,144.9375105,-37.8158343,145.04645,10247.0,2018-02-21,21:19:04,2821.62,1:21:21,12.99
ID1485594221,0,4,5,-37.7997507,144.9943718,-37.8152655,144.9277894,8020.0,2018-01-06,06:51:23,2075.5800000000013,7:25:58,9.97
ID1847273611,0,2,8,-37.820764,144.9487046,-37.807202,145.0266373,8048.0,2018-05-18,06:25:28,2047.200000000001,6:59:35,6.25
ID1416043076,0,3,7,-37.8081699,144.9916973,-37.8618349,144.905716,10464.0,2018-07-28,19:05:05,3491.76,20:03:16,12.43
ID5414218968,2,1,8,-37.8013501,144.937552,-37.8158343,145.04645,11274.0,2018-03-09,15:32:50,3211.3199999999997,16:09:31,329.65
ID3514348690,2,6,2,-37.7874421,144.9804091,-37.8247727,144.9455446,6094.0,2018-07-13,09:20:10,1668.9000000000003,9:47:58,12.62
ID3633028059,1,1,8,-37.8024512,144.9637885,-37.807202,145.0266373,6137.0,2018-06-11,05:27:52,1636.2600000000007,5:55:08,21.13
ID3903872100,1,1,4,-37.8188751,144.9625503,-37.8041839,145.0028001,4524.0,2018-05-20,12:17:48,1117.2000000000007,12:36:25,19.56
ID3222029162,1,8,5,-37.8158343,145.04645,-37.7997371,144.9348231,12282.0,2018-02-09,13:40:47,3357.6000000000004,14:36:44,24.56
ID3978046228,1,9,5,-38.1109156,144.6541725,-37.7993843,144.925888,44676.0,2018-07-15,07:11:47,10731.419999999996,10:10:38,59.19
ID1578780928,2,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797.0,2018-04-12,20:21:53,13173.359999999999,0:01:26,18.32
ID5112636718,2,7,3,-37.8618349,144.905716,-37.8160418,144.982697,9139.0,2018-04-15,20:55:38,3037.6799999999994,21:46:15,321.63
ID5651613267,1,8,1,-37.807202,145.0266373,-37.8058236,144.9550756,6876.0,2018-06-26,02:37:49,1752.7800000000002,3:07:01,199.27
ID1678309847,0,9,1,-38.1109156,144.6541725,-37.804492,144.9478087,43333.0,2018-07-03,22:11:54,10418.219999999998,1:05:32,19.24
ID3571384925,2,9,8,-38.1109156,144.6541725,-37.807202,145.0266373,49777.0,2018-05-18,01:40:31,12099.660000000003,5:02:10,68.57
ID1186096812,0,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797.0,2018-02-03,05:18:42,13173.359999999999,8:58:15,26.68
ID3137265781,3,1,6,-37.8107929,144.9447828,-37.7907967,144.985865,6088.0,2018-04-03,10:39:46,1723.14,11:08:29,11.6
ID3512050106,1,5,6,-37.8187252,144.9166737,-37.7738026,144.9836466,11058.0,2018-07-27,05:41:34,3192.72,6:34:46,29.18
ID3112647128,3,9,8,-38.1109156,144.6541725,-37.8158343,145.04645,51032.0,2018-05-21,17:12:34,12681.060000000005,20:43:55,68.69
ID1400540044,3,7,5,-37.8618349,144.905716,-37.7999032,144.927629,11671.0,2018-04-03,21:15:42,3691.2599999999993,22:17:13,13.8
ID3262416246,1,8,9,-37.807202,145.0266373,-38.1109156,144.6541725,49777.0,2018-06-19,01:24:24,12069.779999999999,4:45:33,70.55
ID5738980731,2,5,7,-37.8063063,144.9366014,-37.8618349,144.905716,10594.0,2018-05-01,05:45:27,3422.82,6:42:29,358.47
ID1200754587,0,6,7,-37.7874421,144.9804091,-37.8618349,144.905716,11630.0,2018-05-27,19:46:47,3697.0200000000013,20:48:24,15.69
ID3214831091,1,6,4,-37.7738026,144.9836466,-37.813257,145.0048305,10106.0,2018-06-26,06:28:33,3086.6399999999985,7:19:59,20.54
ID1550235666,3,3,5,-37.8168075,145.0073593,-37.8078294,144.9340727,7142.0,2018-05-24,03:46:38,1822.140000000001,4:17:00,11.21
ID3709991771,1,4,9,-37.801585,144.9970287,-38.1109156,144.6541725,47278.0,2018-02-24,15:28:36,11420.039999999999,18:38:56,67.76
ID3978503165,1,1,9,-37.8144502,144.9662153,-38.1109156,144.6541725,43646.0,2018-01-11,11:07:43,10508.4,08:12:35,53.81
ID1464489406,0,9,2,-38.1109156,144.6541725,-37.8209034,144.9480676,41924.0,2018-05-17,07:10:49,10083.059999999996,9:58:52,13.52
ID3514552370,1,7,2,-37.8618349,144.905716,-37.8251775,144.9460601,8963.0,2018-02-16,15:49:33,3025.4400000000005,16:39:58,23.44
ID3738552306,1,8,2,-37.8158343,145.04645,-37.8221859,144.9498976,9070.0,2018-04-17,04:19:07,2630.339999999999,5:02:57,24.54
ID3709149687,1,1,5,-37.8087126,144.9663936,-37.8030387,144.9297269,3567.0,2018-04-27,11:39:26,906.9000000000001,11:24:20,8.61
ID1481825440,0,8,2,-37.807202,145.0266373,-37.8227347,144.9311156,10472.0,2018-07-05,2:11:35,2554.199999999998,01:29:01,11.96
ID3249839988,1,5,3,-37.8154311,144.928168,-37.8238631,144.9816201,6407.0,2018-04-22,23:47:13,1361.8799999999999,0:09:54,26.38
ID1305148195,0,7,2,-37.8618349,144.905716,-37.821023,144.947451,8981.0,2018-04-25,22:12:31,3046.199999999999,21:21:45,14.36
ID5806687713,2,2,6,-37.8154808,144.9414181,-37.7874421,144.9804091,5618.0,2018-02-18,19:27:01,1490.8200000000004,19:51:51,170.51
ID1378910034,0,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797.0,2018-04-02,18:29:51,13173.359999999999,14:50:18,18.44
ID5176318542,2,3,6,-37.821433,144.9692083,-37.7874421,144.9804091,4328.0,2018-03-17,4:09:30,1127.4599999999998,03:50:43,145.44
ID5456113266,2,5,8,-37.8037717,144.9380206,-37.8158343,145.04645,10146.0,2018-05-15,18:32:22,2864.88,19:20:06,296.09
ID1902980383,0,7,3,-37.8618349,144.905716,-37.8167945,145.0073797,11449.0,2018-04-21,13:30:45,3619.4999999999986,14:31:04,15.87
ID1453003817,0,2,7,-37.8178637,144.9506461,-37.8618349,144.905716,8845.0,2018-05-12,11:55:45,2995.38,11:05:50,11.56
ID1678623176,0,3,5,-37.8186616,145.0007874,-37.8029407,144.9307492,7292.0,2018-06-27,13:51:21,1875.5400000000006,13:20:06,10.08
ID1624389041,0,5,6,-37.8051664,144.9370566,-37.773845,144.9836895,6805.0,2018-06-13,2:26:37,1500.18,02:01:37,9.73
ID1992191263,0,5,1,-37.8048602,144.932999,-37.8167112,144.9661715,3760.0,2018-03-23,5:02:55,954.0600000000004,04:47:01,11.46
ID3868493007,1,7,1,-37.8618349,144.905716,-37.8020182,144.9652745,9614.0,2018-02-19,08:06:55,3181.0799999999986,8:59:56,19.69
ID1712952978,0,4,1,-37.8108985,144.9966202,-37.8133778,144.9384642,5981.0,2018-01-08,01:24:18,1546.0799999999997,1:50:04,12.52
ID3593238563,1,2,7,-37.8253886,144.9458735,-37.8618349,144.905716,8980.0,2018-07-07,04:02:30,3029.94,4:52:59,33.16
ID1395669518,0,6,9,-37.7874421,144.9804091,-38.1109156,144.6541725,47035.0,2018-02-11,04:40:14,11407.859999999999,7:50:21,25.44
ID3961590788,1,2,7,-37.8238015,144.9476026,-37.8618349,144.905716,8749.0,2018-05-06,05:51:07,3089.94,6:42:36,32.41
